elapsedMs,gnssMode,gnssFixAccuracyM,gnssFixAgeMs,gnssSpeedMps,drVelocityEastMps,drVelocityNorthMps,linearAccelMagnitudeMps2,gyroMagnitudeRadPerSec,isStationary,rawLinearAccelMagnitudeMps2,rawGyroMagnitudeRadPerSec
6716,GNSS_AIDED,4.043,850,3.5073173,0.0,0.0,16.832668541228507,2.7226559487522466,true,24.361384806026177,3.982361316680908
6817,GNSS_AIDED,4.043,1051,3.5073173,0.0,0.0,10.005585102360207,2.5035576983442205,true,29.947366237762008,2.8721110820770264
6917,GNSS_AIDED,4.043,1051,3.5073173,0.0,0.0,21.407551362633612,0.6331672937770694,true,31.696182642542897,1.5460821390151978
7016,GNSS_AIDED,3.39,252,3.8665934,0.0,0.0,11.453321173970915,2.2227396664048538,true,18.727569591192786,3.9654924869537354
7117,GNSS_AIDED,3.39,252,3.8665934,0.0,0.0,5.7001623228742,4.488433212669559,true,13.120139127692312,6.449463844299316
7216,GNSS_AIDED,3.39,455,3.8665934,0.0,0.0,8.43030595495086,1.188926303650353,true,12.360201869966476,1.4837502241134644
7315,GNSS_AIDED,3.39,455,3.8665934,0.0,0.0,7.656175258762724,0.487133453145778,true,16.805927706503205,1.658398985862732
7416,GNSS_AIDED,3.39,656,3.8665934,0.0,0.0,10.657917133228178,0.4538916189784242,true,23.55207385845389,0.6175904273986816
7515,GNSS_AIDED,3.39,656,3.8665934,0.0,0.0,14.656574080417867,0.9209774434836024,true,18.29994540953777,1.379935383796692
7616,GNSS_AIDED,3.39,860,3.8665934,0.0,0.0,8.92397204496234,2.3398139767548236,true,21.208423296682806,4.803586483001709
7716,GNSS_AIDED,3.39,860,3.8665934,0.0,0.0,13.254879666333819,0.9554666112538387,true,24.061398719452896,0.7456612586975098
7815,GNSS_AIDED,3.39,1060,3.8665934,0.0,0.0,19.85634944970264,1.9574992789999812,true,25.121662347809952,4.221611022949219
7916,GNSS_AIDED,3.39,1060,3.8665934,0.0,0.0,15.522273450661274,5.51555471158395,true,13.43698060293459,8.368700981140137
8016,GNSS_AIDED,3.303,261,4.2130013,0.0,0.0,29.72720362186893,1.1060599598989325,true,41.89365775788335,2.860938549041748
8117,GNSS_AIDED,3.303,261,4.2130013,0.0,0.0,19.921211224256243,3.72252594046373,true,12.28376974744906,5.8931379318237305
8217,GNSS_AIDED,3.303,461,4.2130013,0.0,0.0,20.224543295971554,0.802749033639274,true,20.758951086091795,3.3588674068450928
8318,GNSS_AIDED,3.303,461,4.2130013,0.0,0.0,19.222428550189672,3.0101996083736697,true,19.153656208851018,5.523548603057861
8418,GNSS_AIDED,3.303,661,4.2130013,0.0,0.0,2.061987829153494,3.029939348206761,true,13.691948296750287,3.234457492828369
8523,GNSS_AIDED,3.303,661,4.2130013,0.0,0.0,6.641707952004931,1.8920560117904348,true,13.04728997697466,1.1601916551589966
8623,GNSS_AIDED,3.303,862,4.2130013,0.0,0.0,10.236830152011583,2.031757410909351,true,22.774964148451087,2.313321113586426
8723,GNSS_AIDED,3.303,862,4.2130013,0.0,0.0,1.2049596306001993,3.023200582795314,true,9.06940800549188,3.8489696979522705
8821,GNSS_AIDED,3.303,1062,4.2130013,0.0,0.0,13.96598080018639,1.8360368855804379,true,24.780560796798383,0.9673584699630737
8922,GNSS_AIDED,3.303,1062,4.2130013,0.0,0.0,3.435129003430176,1.8430057980936994,true,15.87951817589221,4.632464408874512
9022,GNSS_AIDED,3.353,261,4.5285263,0.0,0.0,7.627088887935299,0.9711084958742663,true,13.068667013301479,2.439192056655884
9122,GNSS_AIDED,3.353,261,4.5285263,0.0,0.0,16.05566331198754,1.3141920499903745,true,22.956511621644324,2.5305309295654297
9223,GNSS_AIDED,3.353,461,4.5285263,0.0,0.0,4.246236277230799,0.6729628796607079,true,16.08750303503527,2.2255702018737793
9322,GNSS_AIDED,3.353,461,4.5285263,0.0,0.0,6.927579995132955,1.4003221658736011,true,13.934245756890084,3.0126638412475586
9424,GNSS_AIDED,3.353,662,4.5285263,0.0,0.0,5.709317029696114,0.9412572483975575,true,12.903393475811296,2.7449116706848145
9524,GNSS_AIDED,3.353,662,4.5285263,0.0,0.0,8.756996193195477,1.011259843479969,true,15.272052964317249,1.0720312595367432
9623,GNSS_AIDED,3.353,862,4.5285263,0.0,0.0,11.205251317443611,1.0047998780217515,true,24.67519815620845,1.0301958322525024
9723,GNSS_AIDED,3.353,862,4.5285263,0.0,0.0,7.963275630370285,0.8424203384328235,true,10.983637411411925,2.3010947704315186
9822,GNSS_AIDED,3.353,1062,4.5285263,0.0,0.0,16.664192956861896,0.5051948664397576,true,24.610920723722636,1.4399651288986206
9924,GNSS_AIDED,3.353,1062,4.5285263,0.0,0.0,10.60880294796305,0.25374042663290897,true,7.805611464886295,0.10894287377595901
10023,GNSS_AIDED,2.7,263,4.838389,0.0,0.0,3.8528945710176226,0.4938268786372227,true,6.620481428232058,0.7311851978302002
10124,GNSS_AIDED,2.7,263,4.838389,0.0,0.0,11.27971591882786,1.0799835309197443,true,20.507829248245013,2.290975570678711
10224,GNSS_AIDED,2.7,463,4.838389,0.0,0.0,4.566600000435347,0.7061912026094475,true,2.7187483881330685,0.4161227345466614
10323,GNSS_AIDED,2.7,463,4.838389,0.0,0.0,13.744160495227895,0.5857495292687026,true,21.224613264867383,0.5088189244270325
10423,GNSS_AIDED,2.7,664,4.838389,0.0,0.0,3.394479942725099,0.2929782361664164,true,10.797092354771213,0.314473956823349
10523,GNSS_AIDED,2.7,664,4.838389,0.0,0.0,7.180328885957326,0.09718682892262803,true,12.552534014984207,0.4045732915401459
10624,GNSS_AIDED,2.7,865,4.838389,0.0,0.0,6.680232209850081,0.09961362322604622,true,9.511746760090418,0.19116158783435822
10724,GNSS_AIDED,2.7,865,4.838389,0.0,0.0,5.412812517848119,1.04208385631852,true,7.584522307083295,1.8440855741500854
10824,GNSS_AIDED,2.7,1069,4.838389,0.0,0.0,5.886199319095653,0.22636012418177365,true,8.433696408685371,0.7194468975067139
10925,GNSS_AIDED,2.7,1069,4.838389,0.0,0.0,4.520583425146694,0.1915228335027548,true,5.1842372125588145,0.19338372349739075
11025,GNSS_AIDED,2.716,270,5.075676,0.0,0.0,3.2261509258966092,0.8921010630921979,true,3.5004473988744835,1.6069492101669312
11125,GNSS_AIDED,2.716,270,5.075676,0.0,0.0,6.5157814997936425,0.23456854769887692,true,9.374895409942761,1.0437287092208862
11225,GNSS_AIDED,2.716,469,5.075676,0.0,0.0,10.350388122218675,0.8399533089832872,true,14.735138297239278,1.3813331127166748
11326,GNSS_AIDED,2.716,469,5.075676,0.0,0.0,7.052607739165689,0.514176590654108,true,10.266519408404099,1.5653780698776245
11426,GNSS_AIDED,2.716,669,5.075676,0.0,0.0,4.424646986379897,0.15600461761944553,true,5.529696052378848,0.3645068109035492
11526,GNSS_AIDED,2.716,669,5.075676,0.0,0.0,12.49086497309959,0.38616461861962087,true,19.768305092472183,0.5876991748809814
11627,GNSS_AIDED,2.716,869,5.075676,0.0,0.0,1.9201468432751494,0.29627647533399903,true,10.540449181438937,0.4901801645755768
11727,GNSS_AIDED,2.716,869,5.075676,0.0,0.0,3.840115073424255,0.10586026058787605,true,6.6616153092112995,0.11699779331684113
11831,GNSS_AIDED,2.716,1070,5.075676,0.0,0.0,8.203623165773598,0.3941552672635716,true,12.741614564641136,0.749009907245636
11932,GNSS_AIDED,2.716,1070,5.075676,0.0,0.0,5.891403876713275,0.15924744514409603,true,4.530495112978027,0.32804185152053833
12031,GNSS_AIDED,2.74,269,5.2522254,0.0,0.0,3.354191670913386,0.2713556537672636,true,2.648072078145258,0.5446507334709167
12130,GNSS_AIDED,2.74,269,5.2522254,0.0,0.0,2.310743043447927,0.1211392809038002,true,4.2469135156924676,0.301699697971344
12232,GNSS_AIDED,2.74,469,5.2522254,0.0,0.0,6.845058739930296,0.5034823275941777,true,11.001228047719014,0.9253097772598267
12330,GNSS_AIDED,2.74,469,5.2522254,0.0,0.0,9.153828006718326,1.3384840387417907,true,11.159609952122238,2.791825294494629
12430,GNSS_AIDED,2.74,670,5.2522254,0.0,0.0,8.25340498220336,0.5254058025933351,true,9.263074007268823,0.22974903881549835
12531,GNSS_AIDED,2.74,670,5.2522254,0.0,0.0,7.888150767526695,0.14817782103637211,true,7.87765087111793,0.2059870809316635
12631,GNSS_AIDED,2.74,870,5.2522254,0.0,0.0,10.666933720736303,0.49372668943521614,true,23.591280344999706,0.7765839099884033
12731,GNSS_AIDED,2.74,870,5.2522254,0.0,0.0,3.8702064356630577,2.1245548320625405,true,14.137498721905317,4.139317512512207
12830,GNSS_AIDED,2.74,1071,5.2522254,0.0,0.0,5.134308304002395,0.7064538265924976,true,7.058296795340688,0.6137839555740356
12931,GNSS_AIDED,2.74,1071,5.2522254,0.0,0.0,2.1030472462870375,0.5259375238122957,true,1.9895347798195344,0.5222099423408508
13032,GNSS_AIDED,2.72,271,5.3170805,0.0,0.0,5.301038552328847,0.24983395925742216,true,7.982814715717781,0.5343483090400696
13132,GNSS_AIDED,2.72,271,5.3170805,0.0,0.0,6.285297278621439,0.28661875246295493,true,7.361593644709095,0.35611292719841003
13236,GNSS_AIDED,2.72,472,5.3170805,0.0,0.0,7.836910256056562,0.9986947753611127,true,18.05878147099301,1.6668702363967896
13331,GNSS_AIDED,2.72,472,5.3170805,0.0,0.0,4.063479716558791,0.7325566927762351,true,6.731602641915618,2.0993878841400146
13431,GNSS_AIDED,2.72,673,5.3170805,0.0,0.0,3.6367341241237168,0.09345595439144014,true,3.6845859200238453,0.597689151763916
13534,GNSS_AIDED,2.72,673,5.3170805,0.0,0.0,7.396132774782252,0.268509368637103,true,11.265280922902948,0.4838147461414337
13635,GNSS_AIDED,2.72,877,5.3170805,0.0,0.0,16.778600431628025,1.1508048299302367,true,25.704474820672488,1.8711133003234863
13734,GNSS_AIDED,2.72,877,5.3170805,0.0,0.0,2.077927008942218,2.448969994128035,true,11.318721363212907,3.522982597351074
13836,GNSS_AIDED,2.72,1078,5.3170805,0.0,0.0,12.399918088415696,1.0330341752192258,true,21.320478055236084,3.683767557144165
13935,GNSS_AIDED,2.72,1078,5.3170805,0.0,0.0,11.594688230519903,0.29262368619516116,true,11.939759392370735,1.0309823751449585
14036,GNSS_AIDED,2.68,276,5.2728143,0.0,0.0,9.189335737242232,0.4464624514787496,true,7.495941338012247,0.9255342483520508
14136,GNSS_AIDED,2.68,276,5.2728143,0.0,0.0,11.483098709665466,0.7547617228344483,true,15.771871729956814,1.53261137008667
14236,GNSS_AIDED,2.68,477,5.2728143,0.0,0.0,6.570233735739392,0.6429701980703799,true,13.66206996431535,0.9132855534553528
14335,GNSS_AIDED,2.68,477,5.2728143,0.0,0.0,2.3495204300713812,1.0416288024451592,true,3.1090405152012868,1.6002087593078613
14436,GNSS_AIDED,2.68,678,5.2728143,0.0,0.0,6.530353229612878,0.6830226776361638,true,10.77142256709505,0.7754908800125122
14535,GNSS_AIDED,2.68,678,5.2728143,0.0,0.0,9.750150974860537,0.5421980068506371,true,15.306724763577364,0.4477190375328064
14640,GNSS_AIDED,2.68,878,5.2728143,0.0,0.0,12.19518597354932,0.3561707893855513,true,15.023778145022877,0.217368483543396
